@relation 'IA - Página1'

@attribute ID numeric
@attribute Longitude numeric
@attribute Latitude numeric

@data
0,-34.91687,-8.09554
0,-34.91676,-8.0951
0,-34.91655,-8.09429
0,-34.91654,-8.09424
0,-34.91653,-8.09417
0,-34.91652,-8.0941
0,-34.91652,-8.09401
0,-34.91653,-8.09381
0,-34.91652,-8.09371
0,-34.91651,-8.09361
0,-34.9164,-8.09308
0,-34.91639,-8.09307
0,-34.9163,-8.09285
0,-34.91623,-8.09273
0,-34.9161,-8.09256
0,-34.91609,-8.09256
0,-34.916,-8.09254
0,-34.9157,-8.09253
0,-34.91562,-8.09251
0,-34.91539,-8.09241
0,-34.9152,-8.09236
0,-34.91484,-8.09232
0,-34.91363,-8.09223
0,-34.91355,-8.09223
0,-34.91354,-8.09223
0,-34.91346,-8.09224
0,-34.9134,-8.09226
0,-34.91319,-8.09232
0,-34.9132,-8.09245
0,-34.91321,-8.09265
0,-34.9132,-8.0928
0,-34.91317,-8.09293
0,-34.91317,-8.093
0,-34.91317,-8.09312
0,-34.9132,-8.09337
0,-34.91324,-8.09361
0,-34.91329,-8.09383
0,-34.91339,-8.09426
0,-34.91339,-8.0943
0,-34.9134,-8.09441
0,-34.91341,-8.0946
0,-34.91339,-8.09496
0,-34.91338,-8.09514
0,-34.91341,-8.09539
0,-34.91345,-8.0956
0,-34.91347,-8.09563
0,-34.91354,-8.09582
0,-34.91366,-8.09599
0,-34.91385,-8.09617
0,-34.9139,-8.0962
0,-34.91393,-8.09622
0,-34.91396,-8.09624
0,-34.91408,-8.09632
0,-34.91422,-8.09639
0,-34.91454,-8.09648
0,-34.91464,-8.0965
0,-34.91465,-8.0965
0,-34.91466,-8.09651
0,-34.91468,-8.09652
0,-34.91469,-8.09653
0,-34.9147,-8.09654
0,-34.9147,-8.09655
0,-34.9147,-8.09656
0,-34.91473,-8.09673
0,-34.91524,-8.09662
0,-34.91575,-8.09651
0,-34.91568,-8.09618
0,-34.91567,-8.09616
0,-34.91567,-8.09615
0,-34.91568,-8.09614
0,-34.91569,-8.09613
0,-34.91569,-8.09612
0,-34.9157,-8.09612
0,-34.91584,-8.09602
0,-34.91617,-8.0958
0,-34.9162,-8.09578
0,-34.91625,-8.09576
0,-34.91626,-8.09576
0,-34.91641,-8.09572
0,-34.91666,-8.09566
0,-34.91689,-8.09562
0,-34.91676,-8.0951
0,-34.91655,-8.09429
1,-34.92255,-8.02925
1,-34.92215,-8.02935
1,-34.92188,-8.02941
1,-34.9216,-8.02951
1,-34.92153,-8.02952
1,-34.92144,-8.02955
1,-34.92097,-8.02971
1,-34.92091,-8.02973
1,-34.92088,-8.02974
1,-34.92085,-8.02975
1,-34.92076,-8.02978
1,-34.92002,-8.03002
1,-34.91995,-8.03004
1,-34.9197,-8.03012
1,-34.91945,-8.0302
1,-34.91911,-8.03031
1,-34.919,-8.03034
1,-34.91875,-8.03042
1,-34.9185,-8.03051
1,-34.9177,-8.03077
1,-34.91702,-8.03098
1,-34.91633,-8.03119
1,-34.9162,-8.03123
1,-34.91609,-8.03127
1,-34.91549,-8.03146
1,-34.91537,-8.0315
1,-34.91527,-8.03153
1,-34.91514,-8.03157
1,-34.91474,-8.03169
1,-34.91422,-8.03186
1,-34.91404,-8.03192
1,-34.91326,-8.03217
1,-34.91297,-8.03226
1,-34.91283,-8.03231
1,-34.91244,-8.03243
1,-34.91202,-8.03257
